Package,Built
here,3.6.2
rlang,3.6.2
runnR,3.6.2
stringi,3.6.2
tidyr,3.6.2
tidyverse,3.6.2
vctrs,3.6.2
acepack,3.6.2
acs,3.6.2
askpass,3.6.2
assertthat,3.6.2
backports,3.6.1
base64enc,3.6.0
BH,3.6.2
bindr,3.6.2
bindrcpp,3.6.2
bitops,3.6.0
blogdown,3.6.2
bookdown,3.6.2
brew,3.6.0
broom,3.6.2
callr,3.6.2
caTools,3.6.2
cellranger,3.6.2
checkmate,3.6.2
choroplethr,3.6.2
choroplethrZip,3.5.1
chron,3.6.2
classInt,3.6.2
cli,3.6.2
clipr,3.6.2
clisymbols,3.6.2
colorspace,3.6.1
commonmark,3.6.2
covr,3.6.2
cowplot,3.6.2
crayon,3.6.2
crosstalk,3.6.2
curl,3.6.2
data.table,3.6.2
DBI,3.6.2
dbplyr,3.6.2
desc,3.6.2
devtools,3.6.2
digest,3.6.2
dplyr,3.6.2
DT,3.6.2
e1071,3.6.2
ellipsis,3.6.2
evaluate,3.6.2
fansi,3.6.2
farver,3.6.2
fastmap,3.6.2
firsttry,3.5.1
forcats,3.6.2
Formula,3.6.0
fs,3.6.2
gapminder,3.6.2
generics,3.6.2
ggmap,3.6.2
ggplot2,3.6.2
gh,3.6.2
git2r,3.6.2
glue,3.6.2
gridExtra,3.6.2
gtable,3.6.2
haven,3.6.2
highr,3.6.2
Hmisc,3.6.2
hms,3.6.2
htmlTable,3.6.2
htmltools,3.6.2
htmlwidgets,3.6.2
httpuv,3.6.2
httr,3.6.2
ini,3.6.2
installr,3.6.2
jpeg,3.6.1
jsonlite,3.6.2
kableExtra,3.6.2
knitr,3.6.2
labeling,3.6.0
later,3.6.2
latticeExtra,3.6.2
lazyeval,3.6.2
leaflet,3.6.2
leaflet.providers,3.6.2
lifecycle,3.6.2
lubridate,3.6.2
magrittr,3.6.2
maps,3.6.2
maptools,3.6.2
markdown,3.6.2
memoise,3.6.2
mime,3.6.2
miniUI,3.6.2
modelr,3.6.2
munsell,3.6.2
openssl,3.6.2
pillar,3.6.2
pkgbuild,3.6.2
pkgconfig,3.6.2
pkgload,3.6.2
plogr,3.6.2
plyr,3.6.2
png,3.6.0
praise,3.6.2
prettyunits,3.6.2
processx,3.6.2
progress,3.6.2
promises,3.6.2
ps,3.6.2
purrr,3.6.2
R6,3.6.2
rappdirs,3.6.2
raster,3.6.2
rcmdcheck,3.6.2
RColorBrewer,3.6.0
Rcpp,3.6.2
readr,3.6.2
readxl,3.6.2
rematch,3.6.2
remotes,3.6.2
reprex,3.6.2
reshape2,3.6.2
rex,3.6.2
rgdal,3.6.2
rgeos,3.6.2
RgoogleMaps,3.6.2
rjson,3.6.0
RJSONIO,3.6.2
rlang,3.5.3
rmarkdown,3.6.2
roxygen2,3.6.2
rprojroot,3.6.2
rstudioapi,3.6.2
rversions,3.6.2
rvest,3.6.2
scales,3.6.2
searchable,3.6.2
selectr,3.6.2
servr,3.6.2
sessioninfo,3.6.2
sf,3.6.2
shiny,3.6.2
socviz,3.6.2
sourcetools,3.6.2
sp,3.6.2
stringr,3.6.2
sys,3.6.2
testit,3.6.2
testthat,3.6.2
tibble,3.6.2
tidyr,3.5.3
tidyselect,3.6.2
tidyverse,3.6.2
tigris,3.6.2
tinytex,3.6.2
translations,3.6.2
units,3.6.2
usethis,3.6.2
utf8,3.6.2
uuid,3.6.0
vctrs,3.5.3
viridis,3.6.2
viridisLite,3.6.2
WDI,3.6.2
webshot,3.6.2
whisker,3.6.2
withr,3.6.2
xfun,3.6.2
XML,3.6.2
xml2,3.6.2
xopen,3.6.2
xtable,3.6.2
yaml,3.6.2
zeallot,3.6.2
