Package,LibPath,Version,Priority,Built
here,C:/Users/Alejandra/Documents/R/win-library/3.6,0.1,NA,3.6.2
rlang,C:/Users/Alejandra/Documents/R/win-library/3.6,0.4.3,NA,3.6.2
runnR,C:/Users/Alejandra/Documents/R/win-library/3.6,0.1.0,NA,3.6.2
stringi,C:/Users/Alejandra/Documents/R/win-library/3.6,1.4.5,NA,3.6.2
tidyr,C:/Users/Alejandra/Documents/R/win-library/3.6,1.0.2,NA,3.6.2
tidyverse,C:/Users/Alejandra/Documents/R/win-library/3.6,1.3.0,NA,3.6.2
vctrs,C:/Users/Alejandra/Documents/R/win-library/3.6,0.2.2,NA,3.6.2
acepack,C:/Program Files/R/R-3.6.2/library,1.4.1,NA,3.6.2
acs,C:/Program Files/R/R-3.6.2/library,2.1.4,NA,3.6.2
askpass,C:/Program Files/R/R-3.6.2/library,1.1,NA,3.6.2
assertthat,C:/Program Files/R/R-3.6.2/library,0.2.1,NA,3.6.2
backports,C:/Program Files/R/R-3.6.2/library,1.1.5,NA,3.6.1
base,C:/Program Files/R/R-3.6.2/library,3.6.2,base,3.6.2
base64enc,C:/Program Files/R/R-3.6.2/library,0.1-3,NA,3.6.0
BH,C:/Program Files/R/R-3.6.2/library,1.72.0-3,NA,3.6.2
bindr,C:/Program Files/R/R-3.6.2/library,0.1.1,NA,3.6.2
bindrcpp,C:/Program Files/R/R-3.6.2/library,0.2.2,NA,3.6.2
bitops,C:/Program Files/R/R-3.6.2/library,1.0-6,NA,3.6.0
blogdown,C:/Program Files/R/R-3.6.2/library,0.17,NA,3.6.2
bookdown,C:/Program Files/R/R-3.6.2/library,0.17,NA,3.6.2
boot,C:/Program Files/R/R-3.6.2/library,1.3-23,recommended,3.6.2
brew,C:/Program Files/R/R-3.6.2/library,1.0-6,NA,3.6.0
broom,C:/Program Files/R/R-3.6.2/library,0.5.3,NA,3.6.2
callr,C:/Program Files/R/R-3.6.2/library,3.4.1,NA,3.6.2
caTools,C:/Program Files/R/R-3.6.2/library,1.18.0,NA,3.6.2
cellranger,C:/Program Files/R/R-3.6.2/library,1.1.0,NA,3.6.2
checkmate,C:/Program Files/R/R-3.6.2/library,1.9.4,NA,3.6.2
choroplethr,C:/Program Files/R/R-3.6.2/library,3.6.3,NA,3.6.2
choroplethrZip,C:/Program Files/R/R-3.6.2/library,1.3.0,NA,3.5.1
chron,C:/Program Files/R/R-3.6.2/library,2.3-54,NA,3.6.2
class,C:/Program Files/R/R-3.6.2/library,7.3-15,recommended,3.6.2
classInt,C:/Program Files/R/R-3.6.2/library,0.4-2,NA,3.6.2
cli,C:/Program Files/R/R-3.6.2/library,2.0.1,NA,3.6.2
clipr,C:/Program Files/R/R-3.6.2/library,0.7.0,NA,3.6.2
clisymbols,C:/Program Files/R/R-3.6.2/library,1.2.0,NA,3.6.2
cluster,C:/Program Files/R/R-3.6.2/library,2.1.0,recommended,3.6.2
codetools,C:/Program Files/R/R-3.6.2/library,0.2-16,recommended,3.6.2
colorspace,C:/Program Files/R/R-3.6.2/library,1.4-1,NA,3.6.1
commonmark,C:/Program Files/R/R-3.6.2/library,1.7,NA,3.6.2
compiler,C:/Program Files/R/R-3.6.2/library,3.6.2,base,3.6.2
covr,C:/Program Files/R/R-3.6.2/library,3.4.0,NA,3.6.2
cowplot,C:/Program Files/R/R-3.6.2/library,1.0.0,NA,3.6.2
crayon,C:/Program Files/R/R-3.6.2/library,1.3.4,NA,3.6.2
crosstalk,C:/Program Files/R/R-3.6.2/library,1.0.0,NA,3.6.2
curl,C:/Program Files/R/R-3.6.2/library,4.3,NA,3.6.2
data.table,C:/Program Files/R/R-3.6.2/library,1.12.8,NA,3.6.2
datasets,C:/Program Files/R/R-3.6.2/library,3.6.2,base,3.6.2
DBI,C:/Program Files/R/R-3.6.2/library,1.1.0,NA,3.6.2
dbplyr,C:/Program Files/R/R-3.6.2/library,1.4.2,NA,3.6.2
desc,C:/Program Files/R/R-3.6.2/library,1.2.0,NA,3.6.2
devtools,C:/Program Files/R/R-3.6.2/library,2.2.1,NA,3.6.2
digest,C:/Program Files/R/R-3.6.2/library,0.6.23,NA,3.6.2
dplyr,C:/Program Files/R/R-3.6.2/library,0.8.3,NA,3.6.2
DT,C:/Program Files/R/R-3.6.2/library,0.11,NA,3.6.2
e1071,C:/Program Files/R/R-3.6.2/library,1.7-3,NA,3.6.2
ellipsis,C:/Program Files/R/R-3.6.2/library,0.3.0,NA,3.6.2
evaluate,C:/Program Files/R/R-3.6.2/library,0.14,NA,3.6.2
fansi,C:/Program Files/R/R-3.6.2/library,0.4.1,NA,3.6.2
farver,C:/Program Files/R/R-3.6.2/library,2.0.3,NA,3.6.2
fastmap,C:/Program Files/R/R-3.6.2/library,1.0.1,NA,3.6.2
firsttry,C:/Program Files/R/R-3.6.2/library,0.0.0.9000,NA,3.5.1
forcats,C:/Program Files/R/R-3.6.2/library,0.4.0,NA,3.6.2
foreign,C:/Program Files/R/R-3.6.2/library,0.8-72,recommended,3.6.2
Formula,C:/Program Files/R/R-3.6.2/library,1.2-3,NA,3.6.0
fs,C:/Program Files/R/R-3.6.2/library,1.3.1,NA,3.6.2
gapminder,C:/Program Files/R/R-3.6.2/library,0.3.0,NA,3.6.2
generics,C:/Program Files/R/R-3.6.2/library,0.0.2,NA,3.6.2
ggmap,C:/Program Files/R/R-3.6.2/library,3.0.0,NA,3.6.2
ggplot2,C:/Program Files/R/R-3.6.2/library,3.2.1,NA,3.6.2
gh,C:/Program Files/R/R-3.6.2/library,1.1.0,NA,3.6.2
git2r,C:/Program Files/R/R-3.6.2/library,0.26.1,NA,3.6.2
glue,C:/Program Files/R/R-3.6.2/library,1.3.1,NA,3.6.2
graphics,C:/Program Files/R/R-3.6.2/library,3.6.2,base,3.6.2
grDevices,C:/Program Files/R/R-3.6.2/library,3.6.2,base,3.6.2
grid,C:/Program Files/R/R-3.6.2/library,3.6.2,base,3.6.2
gridExtra,C:/Program Files/R/R-3.6.2/library,2.3,NA,3.6.2
gtable,C:/Program Files/R/R-3.6.2/library,0.3.0,NA,3.6.2
haven,C:/Program Files/R/R-3.6.2/library,2.2.0,NA,3.6.2
